22;21;12;29;25;12;17;16;16;21;23;26;11;16;16
28;11;17;29;10;28;22;24;24;17;10;30;26;24;23
29;12;18;20;26;30;22;18;26;29;25;16;11;10;24
13;14;27;11;24;27;24;28;18;19;11;27;30;25;29
15;23;22;15;14;27;16;22;24;14;30;22;15;11;16
24;26;22;11;30;16;15;11;15;11;15;22;24;11;25
19;24;28;28;22;14;15;16;21;12;13;15;23;10;23
15;10;23;18;19;12;13;30;24;17;24;17;17;25;10
17;11;21;29;16;23;27;29;26;19;24;14;15;29;28
18;17;14;14;28;30;18;16;11;30;16;10;30;26;18
22;13;23;18;17;10;10;14;16;21;27;14;30;15;12
15;20;20;28;23;30;27;15;30;13;23;13;14;15;15
21;16;13;29;14;28;24;13;18;18;16;12;15;21;29
23;17;17;18;11;14;16;24;13;10;15;11;14;24;28
14;13;13;14;25;25;25;29;25;24;21;20;29;18;12
